test,turbo,large-v3,medium
"Test 01 — Sayılar ve Büyük Rakamlar.mp3",12,11,12
"Test 02 — Tarih ve Saat İfadeleri.mp3",17,18,17
"Test 03 — Para Birimleri ve Yüzdeler.mp3",12,13,12
"Test 04 — Kişi Adları (Kurgusal).mp3",10,11,10
"Test 05 — Yer Adları.mp3",15,14,14
"Test 06 — Kısaltmalar ve Akronimler.mp3",17,18,15
"Test 07 — İngilizce Karışık Konuşma (Code-Switching).mp3",15,15,16
"Test 08 — Bilişim  Teknik Terimler.mp3",12,16,12
"Test 09 — Tıbbi Terimler.mp3",17,14,13
"Test 10 — Hukuki  Bürokratik Dil.mp3",11,14,14
"Test 11 — Deyimler ve Atasözleri.mp3",19,18,19
"Test 12 — Argo ve Günlük Konuşma.mp3",29,31,29
"Test 13 — Duygusal  Heyecanlı Konuşma.mp3",27,28,28
"Test 14 — Sakin  Monoton Anlatım.mp3",17,16,16
"Test 15 — Soru Cümleleri Yoğun Metin.mp3",21,21,1
"Test 16 — Ünlem ve Şaşkınlık İfadeleri.mp3",46,47,46
"Test 17 — İki Kişili Diyalog.mp3",25,24,33
"Test 18 — Liste  Numaralandırma.mp3",8,8,8
"Test 19 — Adres ve Telefon Numarası.mp3",11,14,5
"Test 20 — Uzun ve Karmaşık Cümleler.mp3",7,6,5
"Test 21 — Kısa ve Kesik Cümleler.mp3",3,3,50
"Test 22 — Haber Bülteni Tarzı.mp3",16,16,18
"Test 23 — Spor Anlatımı.mp3",30,29,27
"Test 24 — Yemek Tarifi Anlatımı.mp3",17,17,15
"Test 25 — Hava Durumu Anlatımı.mp3",15,18,16
"Test 26 — Müşteri Hizmetleri Diyaloğu.mp3",45,41,40
"Test 27 — Şiirsel  Edebi Anlatım (Özgün).mp3",17,17,16
"Test 28 — Sunum  Eğitim Anlatımı.mp3",22,21,21
"Test 29 — Karışık Duygu ve Ton Geçişleri.mp3",22,24,22
"Test 30 — Genel Karma Metin (Her Şeyden Biraz).mp3",23,20,23
